No,Waktu Kejadian,Lokasi Jalur,Jenis Kendaraan,Nomor Polisi,Foto Bukti,Status
1,5/30/2026 15:25,KORIDOR UTAMA (LAJUR TUNGGAL),CAR,NEED VALIDATION,captured_evidences\PELANGGAR_20260530_152512_1.jpg,TILANG ELEKTRONIK
2,5/30/2026 15:28,KORIDOR UTAMA (LAJUR TUNGGAL),CAR,NEED VALIDATION,captured_evidences\PELANGGAR_20260530_152821_2.jpg,TILANG ELEKTRONIK
3,5/30/2026 15:28,KORIDOR UTAMA (LAJUR TUNGGAL),CAR,NEED VALIDATION,captured_evidences\PELANGGAR_20260530_152823_3.jpg,TILANG ELEKTRONIK
4,5/30/2026 15:30,KORIDOR UTAMA (LAJUR TUNGGAL),CAR,NEED VALIDATION,captured_evidences\PELANGGAR_20260530_153002_4.jpg,TILANG ELEKTRONIK
5,5/30/2026 15:30,KORIDOR UTAMA (LAJUR TUNGGAL),CAR,NEED VALIDATION,captured_evidences\PELANGGAR_20260530_153024_5.jpg,TILANG ELEKTRONIK
6,5/30/2026 16:59,KORIDOR UTAMA (LAJUR TUNGGAL),CAR,NEED VALIDATION,captured_evidences\PELANGGAR_20260530_165911_6.jpg,TILANG ELEKTRONIK
7,5/30/2026 17:01,KORIDOR UTAMA (LAJUR TUNGGAL),CAR,NEED VALIDATION,captured_evidences\PELANGGAR_20260530_170113_7.jpg,TILANG ELEKTRONIK
8,5/30/2026 17:02,KORIDOR UTAMA (LAJUR TUNGGAL),CAR,NEED VALIDATION,captured_evidences\PELANGGAR_20260530_170217_8.jpg,TILANG ELEKTRONIK
9,5/30/2026 17:05,KORIDOR UTAMA (LAJUR TUNGGAL),CAR,B 1524 MNG,captured_evidences\PELANGGAR_20260530_170535_9.jpg,TILANG ELEKTRONIK
10,2026-05-31 09:37:32,ZONA ARAH B (LAJUR KIRI),CAR,NEED VALIDATION,captured_evidences/PELANGGAR_20260531_093732_10.jpg,TILANG ELEKTRONIK
11,2026-05-31 09:37:35,ZONA ARAH B (LAJUR KIRI),CAR,A1064AO,captured_evidences/PELANGGAR_20260531_093735_11.jpg,TILANG ELEKTRONIK
